scenario,n_society,alpha,mean,n,successes,ci_low,ci_high
s4,500,0.1,0.54,50,27,0.4039887139915748,0.6703034780777566
s4,500,0.15,0.58,50,29,0.4423344176857823,0.7062499664528802
s4,1000,0.0,0.14,50,7,0.06950833427016294,0.2618619371058554
s4,1000,0.01,0.46,50,23,0.3296965219222435,0.5960112860084253
s4,1000,0.015,0.52,50,26,0.38511744890044614,0.6520286471342196
s4,1000,0.02,0.52,50,26,0.38511744890044614,0.6520286471342196
s4,1000,0.03,0.52,50,26,0.38511744890044614,0.6520286471342196
s4,1000,0.05,0.52,50,26,0.38511744890044614,0.6520286471342196
s4,1000,0.075,0.48,50,24,0.34797135286578046,0.6148825510995539
s4,1000,0.1,0.5,50,25,0.3664451431682858,0.6335548568317142
s4,1000,0.15,0.56,50,28,0.4230602802165686,0.6883780078874284
s4,2000,0.0,0.12,50,6,0.05617600150932274,0.23804817383202992
s4,2000,0.01,0.5,50,25,0.3664451431682858,0.6335548568317142
s4,2000,0.015,0.48,50,24,0.34797135286578046,0.6148825510995539
s4,2000,0.02,0.48,50,24,0.34797135286578046,0.6148825510995539
s4,2000,0.03,0.5,50,25,0.3664451431682858,0.6335548568317142
s4,2000,0.05,0.48,50,24,0.34797135286578046,0.6148825510995539
s4,2000,0.075,0.48,50,24,0.34797135286578046,0.6148825510995539
s4,2000,0.1,0.46,50,23,0.3296965219222435,0.5960112860084253
s4,2000,0.15,0.5,50,25,0.3664451431682858,0.6335548568317142
